,Rating,panjang_review,jumlah_kata,ada_tanda_seru,ada_tanda_tanya
Rating,1.0,-0.3918978055654811,-0.410067509313709,-0.13702183197133888,-0.21814796167305872
panjang_review,-0.3918978055654811,1.0,0.9940294870623244,0.1870086706216945,0.2566689252132426
jumlah_kata,-0.410067509313709,0.9940294870623244,1.0,0.18455999637213902,0.2624627599644236
ada_tanda_seru,-0.13702183197133888,0.1870086706216945,0.18455999637213902,1.0,0.10496705543824646
ada_tanda_tanya,-0.21814796167305872,0.2566689252132426,0.2624627599644236,0.10496705543824646,1.0
